escala,versao,threads,schedule,chunk,arquivos,bytes,repeticao,tempo_s
forte,openmp,4,guided,16,1024,105775104,9,0.051267
forte,openmp,4,guided,16,1024,105775104,10,0.050774
forte,openmp,4,guided,16,1024,105775104,11,0.050900
forte,openmp,4,guided,16,1024,105775104,12,0.050821
forte,openmp,4,guided,16,1024,105775104,13,0.050782
forte,openmp,4,guided,16,1024,105775104,14,0.050760
forte,openmp,4,guided,16,1024,105775104,15,0.050317
forte,openmp,8,static,1,1024,105775104,1,0.029760
forte,openmp,8,static,1,1024,105775104,2,0.029444
forte,openmp,8,static,1,1024,105775104,3,0.030654
forte,openmp,8,static,1,1024,105775104,4,0.031794
forte,openmp,8,static,1,1024,105775104,5,0.029974
forte,openmp,8,static,1,1024,105775104,6,0.030229
forte,openmp,8,static,1,1024,105775104,7,0.030482
forte,openmp,8,static,1,1024,105775104,8,0.033044
forte,openmp,8,static,1,1024,105775104,9,0.030199
forte,openmp,8,static,1,1024,105775104,10,0.031436
forte,openmp,8,static,1,1024,105775104,11,0.030907
forte,openmp,8,static,1,1024,105775104,12,0.029489
forte,openmp,8,static,1,1024,105775104,13,0.029258
forte,openmp,8,static,1,1024,105775104,14,0.030933
forte,openmp,8,static,1,1024,105775104,15,0.029908
forte,openmp,8,static,4,1024,105775104,1,0.030625
forte,openmp,8,static,4,1024,105775104,2,0.029961
forte,openmp,8,static,4,1024,105775104,3,0.029796
forte,openmp,8,static,4,1024,105775104,4,0.030633
forte,openmp,8,static,4,1024,105775104,5,0.029521
forte,openmp,8,static,4,1024,105775104,6,0.030533
forte,openmp,8,static,4,1024,105775104,7,0.029781
forte,openmp,8,static,4,1024,105775104,8,0.029124
forte,openmp,8,static,4,1024,105775104,9,0.030919
forte,openmp,8,static,4,1024,105775104,10,0.029318
forte,openmp,8,static,4,1024,105775104,11,0.029728
forte,openmp,8,static,4,1024,105775104,12,0.029941
forte,openmp,8,static,4,1024,105775104,13,0.029949
forte,openmp,8,static,4,1024,105775104,14,0.030513
